Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Previous Cumulative Payout,Payout,Unique Page Views,Popularity Times Rating,Advertising Portion,Advertising Revenue,Views per Thousand Words,Normalized Popularity,Rating Median,Normalized Rating Median,Categorized Articles,Articles,Categorization,Normalized Categorization,Normalized Worth,Earnings Multiplier,Earnings
Acs26,1pK5e7YxixmERU617STiXgiGdnactBQrT,0,0,0,2592,2592,2592,3,3,0,0,0.0,0.0,0.0,0.0,0.0,81.5,1.22,4,4,1.0,1.22,0.855,0.0,0
Alexandriafini,19YqhfmEKLEwhT5NJN1ER1FB5yn3jq4yhL,0,0,0,7588,7588,7588,8,8,0,5,4.0,0.00000738,0.0,0.659,0.823,76.0,0.994,3,3,1.0,1.22,0.965,0.0,0
Aljiu,17AD7tcyFK5WWqpPykgx2pvypQdfiSCitR,0,0,2,1050,1050,1070,1,1,0,2,2.0,0.00000369,0.0,1.87,0.884,90.0,1.64,1,1,1.0,1.22,1.37,0.0,0
Alpha511,1Fcqq12HeSxi3UEqeuPrj7mKZ5U8CLosE5,0,0,12,4131,4131,4251,4,4,0,43,36.0,0.0000664,0.0,10.1,0.993,82.0,1.24,3,3,1.0,1.22,1.17,0.0,0
Altos,19kKHtq3osvHqemFSxUvoVoBUPUpH7KQB3,0,0,0,25397,25397,25397,25,0,25,6,5.0,0.00000922,0.0,0.472,0.805,76.0,0.994,7,7,1.0,1.22,0.96,0.819,20
Alyssa85,1ERn5JRTm5P47LzhiLCbKtduwj9M3cPE81,0,0,4,10960,10960,11000,11,11,0,331,283.0,0.000522,0.0,30.1,1.07,84.5,1.36,10,10,1.0,1.22,1.26,0.0,0
Amirali00124,1FfeaJ6cQGWmfRH3SKsYnyMYA62g7FnDds,0,0,0,3131,3131,3131,3,3,0,1,0.0,0.0,0.0,0.319,0.783,47.5,0.251,4,4,1.0,1.22,0.507,0.0,0
Antdix,1NNnUkWk29x6PBMyUpRDXv4dEMNrw5qjWY,0,0,102,76285,76285,77305,77,77,0,49,35.0,0.0000646,0.0,0.634,0.821,70.0,0.783,42,42,1.0,1.22,0.838,0.0,0
Ashleysly,1Mdu9MbAEsUm81NzEPQR7GCkUxbG39pWMy,559,167,0,49273,49832,49440,49,48,1,54,31.0,0.0000572,0.0,1.09,0.852,57.5,0.439,52,53,0.981,1.17,0.636,0.543,1
Asquirrel,1Dme8MjSTnsQdGsXT94Yb5is9EXqRPYnVZ,0,0,0,3238,3238,3238,3,3,0,10,7.0,0.0000129,0.0,3.09,0.915,65.0,0.63,1,1,1.0,1.22,0.774,0.0,0
Athanasios_motok,13uzim3VkT6YSEGsUA7KxKkimepsaLF7ZE,701,210,38,56105,56806,56695,57,57,0,141,98.0,0.000181,0.0,2.49,0.902,69.0,0.75,80,80,1.0,1.22,0.843,0.0,0
Atruk,1x1yenCV3GxoiGPjpE1iykCH9kcmS8fsr,0,0,0,22207,22207,22207,22,22,0,6,5.0,0.00000922,0.0,0.27,0.774,78.0,1.07,15,15,1.0,1.22,0.999,0.0,0
Backa18,1A7mEa8zufBg2ajkQU8uezFKVvaxEqXr3g,0,0,2,98260,98260,98280,98,93,5,44,30.0,0.0000553,0.0,0.448,0.802,68.5,0.734,36,36,1.0,1.22,0.803,0.685,3
Balthozar,1kFhM8vtEzbZ43Z5wcadPvNrb4xFXbgze,0,0,4,10533,10533,10573,11,11,0,7,6.0,0.0000111,0.0,0.662,0.824,89.0,1.58,0,12,0.0,0.0,1.2,0.0,0
Barnacle_Ed,16xxKVrtDxTuEJhADUxVmZK94im43RXi45,0,0,0,36735,36735,36735,37,37,0,6,5.0,0.00000922,0.0,0.163,0.748,88.5,1.56,9,15,0.6,0.392,1.2,0.0,0
Ben,1DbJtgRfXqa2Vjh4Qfe35gGqMVEbC7DoAu,0,0,15,1947,1947,2097,2,2,0,85,77.0,0.000142,0.0,40.5,1.09,89.5,1.61,1,1,1.0,1.22,1.41,0.0,0
BitcoinAlchemist,1JBmwfJ4HmxTDDYwZY1rC63xR9h8Usqtat,0,0,0,27587,27587,27587,28,28,0,25,18.0,0.0000332,0.0,0.906,0.842,71.0,0.816,2,26,0.0769,0.00412,0.742,0.0,0
Bit-fxtrader,1BZrrPVnQibm9M357dATtTokUYP1vaosgU,0,0,1,39209,39209,39219,39,32,7,351,301.0,0.000555,0.0,8.95,0.985,85.0,1.38,24,24,1.0,1.22,1.25,1.06,7
Bittzy78,1Pz1K3res89p4GF3N26gz93CzbyWUcjEAb,3084,925,6,12925,16009,13910,14,14,0,24,19.0,0.000035,0.0,1.73,0.879,80.0,1.16,13,13,1.0,1.22,1.08,0.0,0
Blackjet69,1tjX32UTH9DV9LkWKSncr4a3sJ4ksY84S,0,0,4,6821,6821,6861,7,7,0,2,1.0,0.00000184,0.0,0.292,0.779,62.5,0.561,7,7,1.0,1.22,0.692,0.0,0
Bloodstone,16ErAavhmhfJZzRMN7x3be7Mg43KYqTyaK,2248,674,0,2112,4360,2786,3,3,0,0,0.0,0.0,0.0,0.0,0.0,63.0,0.574,9,10,0.9,0.965,0.441,0.0,0
Bmlzootown,1AWxtasquGuwRz9KMSfbZLVa3ED7XuXNev,0,0,0,1282,1282,1282,1,1,0,0,0.0,0.0,0.0,0.0,0.0,80.0,1.16,3,3,1.0,1.22,0.817,0.0,0
