Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Previous Cumulative Payout,Payout,Unique Page Views,Popularity Times Rating,Advertising Portion,Advertising Revenue,Views per Thousand Words,Normalized Popularity,Rating Median,Normalized Rating Median,Categorized Articles,Articles,Categorization,Normalized Categorization,Normalized Worth,Earnings Multiplier,Earnings
Acs26,1pK5e7YxixmERU617STiXgiGdnactBQrT,0,0,0,2600,2600,2600,3,3,0,3,3,7.31511058009e-05,0,1.15384615385,0.78744203483,89.0,1.34301228157,0,4,0.0,0.0,1.0652271582,0.0,0
Alex0909,1Mgvwf4B1VFWKyT91tYnRVPqpTv4ddrfVT
Alyssa85,1ERn5JRTm5P47LzhiLCbKtduwj9M3cPE81,0,0,4,10917,10917,10957,11,11,0,100,88,0.00214576577016,0,9.12658574427,0.964110426667,87.5,1.26222985342,0,10,0.0,0.0,1.11317014004,0.0,0
Ashleysly,1Mdu9MbAEsUm81NzEPQR7GCkUxbG39pWMy,0,0,0,15003,15003,15003,15,15,0,31,28,0.000682743654142,0,2.06625341598,0.833651753225,90.0,1.39891044929,1,17,0.0588235294118,0.160440417119,1.11628110126,0.0,0
Athanasios_motok,13uzim3VkT6YSEGsUA7KxKkimepsaLF7ZE,0,0,21,6806,6806,7016,0,0,0,58,0,0.0,0,0.0,0.0,0.0,0.0,1,21,0.0,0.0,0.0,0.0,0
Atruk,1x1yenCV3GxoiGPjpE1iykCH9kcmS8fsr,0,0,0,22236,22236,22236,22,22,0,9,6,0.000146302211602,0,0.404749055586,0.71070408407,65.0,0.426567900355,0,15,0.0,0.0,0.568635992212,0.0,0
Backa18,1A7mEa8zufBg2ajkQU8uezFKVvaxEqXr3g,0,0,0,33513,33513,33513,34,0,34,10736,8914,0.217356319036,0,640.706591472,1.4616381721,82.1988636364,1.0047981158,0,17,0.0,0.0,1.23321814395,1.33438056982,45
Balthozar,1kFhM8vtEzbZ43Z5wcadPvNrb4xFXbgze,0,0,4,10520,10520,10560,11,11,0,12,12,0.000292604423204,0,1.13636363636,0.786266226099,98.0,1.90882860495,0,12,0.0,0.0,1.34754741552,0.0,0
Barnacle_Ed,16xxKVrtDxTuEJhADUxVmZK94im43RXi45,0,0,0,36297,36297,36297,36,37,0,23,21,0.000512057740606,0,0.63366118412,0.742578583393,90.0,1.39891044929,7,14,0.5,0.889809701048,1.07074451634,0.0,0
BitcoinAlchemist,1JBmwfJ4HmxTDDYwZY1rC63xR9h8Usqtat,0,0,0,24769,24769,24769,25,25,0,16,13,0.000316988125137,0,0.645968751262,0.743978035171,78.0,0.829797064417,1,23,0.0434782608696,0.125958459736,0.786887549794,0.0,0
Bmlzootown,1AWxtasquGuwRz9KMSfbZLVa3ED7XuXNev,0,0,0,1281,1281,1281,1,1,0,6,4,9.75348077345e-05,0,4.68384074941,0.903174250123,60.0,0.318506792998,3,3,1.0,1.54976662841,0.61084052156,0.0,0
Boelens,1PZ4yQmyi4JsfhUUHJiNs15gt98MreQXw1,0,0,0,1419,1419,1419,1,1,0,3,2,4.87674038673e-05,0,2.11416490486,0.835524229324,76.0,0.75474487099,0,1,0.0,0.0,0.795134550157,0.0,0
CaramelSunshine,14yBc8zcJZh8nhUVx62RBX1n19Nw4pgy2q,0,0,0,3963,3963,3963,4,4,0,3,3,7.31511058009e-05,0,0.757002271007,0.755618105017,95.0,1.70407090913,0,6,0.0,0.0,1.22984450707,0.0,0
