Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Previous Cumulative Payout,Payout,Unique Page Views,Popularity Times Rating,Advertising Portion,Advertising Revenue,Views per Thousand Words,Normalized Popularity,Rating Median,Normalized Rating Median,Categorized Articles,Articles,Categorization,Normalized Categorization,Normalized Worth,Earnings Multiplier,Earnings
Acs26,1pK5e7YxixmERU617STiXgiGdnactBQrT,0,0,0,2592,2592,2592,3,3,0,0,0.0,0.0,0.0,0.0,0.0,82.5,1.22,4,4,1.0,1.23,0.854,0.0,0
Alexandriafini,19YqhfmEKLEwhT5NJN1ER1FB5yn3jq4yhL,0,0,0,7588,7588,7588,8,8,0,3,2.0,0.0000108,0.0,0.395,0.779,70.0,0.58,3,3,1.0,1.23,0.705,0.0,0
Aljiu,17AD7tcyFK5WWqpPykgx2pvypQdfiSCitR,0,0,2,1050,1050,1070,1,1,0,1,1.0,0.00000541,0.0,0.935,0.848,80.0,1.06,1,1,1.0,1.23,1.01,0.0,0
Alpha511,1Fcqq12HeSxi3UEqeuPrj7mKZ5U8CLosE5,0,0,12,4131,4131,4251,4,4,0,119,101.0,0.000546,0.0,28.0,1.19,84.0,1.32,3,3,1.0,1.23,1.27,0.0,0
Altos,19kKHtq3osvHqemFSxUvoVoBUPUpH7KQB3,0,0,0,25397,25397,25397,25,25,0,3,2.0,0.0000108,0.0,0.118,0.691,80.0,1.06,7,7,1.0,1.23,0.966,0.0,0
Alyssa85,1ERn5JRTm5P47LzhiLCbKtduwj9M3cPE81,0,0,4,10960,10960,11000,11,11,0,131,112.0,0.000605,0.0,11.9,1.09,84.5,1.36,10,10,1.0,1.23,1.27,0.0,0
Amirali00124,1FfeaJ6cQGWmfRH3SKsYnyMYA62g7FnDds,0,0,0,3131,3131,3131,3,3,0,0,0.0,0.0,0.0,0.0,0.0,67.5,0.492,4,4,1.0,1.23,0.418,0.0,0
Antdix,1NNnUkWk29x6PBMyUpRDXv4dEMNrw5qjWY,0,0,104,79082,79082,80122,80,80,0,28,20.0,0.000108,0.0,0.349,0.769,70.0,0.58,43,44,0.977,1.17,0.695,0.0,0
Ashleysly,1Mdu9MbAEsUm81NzEPQR7GCkUxbG39pWMy,559,167,0,100108,100667,100275,100,100,0,24,16.0,0.0000865,0.0,0.239,0.741,65.0,0.415,74,74,1.0,1.23,0.594,0.0,0
Asquirrel,1Dme8MjSTnsQdGsXT94Yb5is9EXqRPYnVZ,0,0,0,3238,3238,3238,3,3,0,5,4.0,0.0000216,0.0,1.54,0.891,80.0,1.06,1,1,1.0,1.23,1.03,0.0,0
Athanasios_motok,13uzim3VkT6YSEGsUA7KxKkimepsaLF7ZE,701,210,40,56780,57481,57390,57,57,0,60,42.0,0.000227,0.0,1.05,0.857,69.0,0.543,82,83,0.988,1.2,0.703,0.0,0
Atruk,1x1yenCV3GxoiGPjpE1iykCH9kcmS8fsr,0,0,0,22207,22207,22207,22,22,0,1,1.0,0.00000541,0.0,0.045,0.628,80.0,1.06,15,15,1.0,1.23,0.948,0.0,0
Backa18,1A7mEa8zufBg2ajkQU8uezFKVvaxEqXr3g,0,0,2,98260,98260,98280,98,98,0,18,13.0,0.0000703,0.0,0.183,0.721,70.0,0.58,36,36,1.0,1.23,0.688,0.0,0
Balthozar,1kFhM8vtEzbZ43Z5wcadPvNrb4xFXbgze,0,0,4,10533,10533,10573,11,11,0,3,3.0,0.0000162,0.0,0.284,0.753,82.5,1.22,0,12,0.0,0.0,0.957,0.0,0
Barnacle_Ed,16xxKVrtDxTuEJhADUxVmZK94im43RXi45,0,0,0,36735,36735,36735,37,37,0,4,4.0,0.0000216,0.0,0.109,0.685,87.0,1.55,9,15,0.6,0.363,1.17,0.0,0
Ben,1DbJtgRfXqa2Vjh4Qfe35gGqMVEbC7DoAu,0,0,15,1947,1947,2097,2,2,0,30,28.0,0.000151,0.0,14.3,1.11,91.5,1.94,1,1,1.0,1.23,1.62,0.0,0
BitcoinAlchemist,1JBmwfJ4HmxTDDYwZY1rC63xR9h8Usqtat,0,0,0,39150,39150,39150,39,39,0,5,4.0,0.0000216,0.0,0.128,0.696,70.0,0.58,19,34,0.559,0.307,0.587,0.0,0
Bit-fxtrader,1BZrrPVnQibm9M357dATtTokUYP1vaosgU,0,0,1,52795,52795,52805,53,53,0,430,378.0,0.00204,0.0,8.14,1.05,87.0,1.55,30,30,1.0,1.23,1.37,0.0,0
Bittzy78,1Pz1K3res89p4GF3N26gz93CzbyWUcjEAb,3084,925,6,12925,16009,13910,14,14,0,14,11.0,0.0000595,0.0,1.01,0.854,80.0,1.06,13,13,1.0,1.23,1.02,0.0,0
Blackjet69,1tjX32UTH9DV9LkWKSncr4a3sJ4ksY84S,0,0,4,6821,6821,6861,7,7,0,1,1.0,0.00000541,0.0,0.146,0.705,62.5,0.347,7,7,1.0,1.23,0.543,0.0,0
Bmlzootown,1AWxtasquGuwRz9KMSfbZLVa3ED7XuXNev,0,0,0,1282,1282,1282,1,1,0,0,0.0,0.0,0.0,0.0,0.0,80.0,1.06,3,3,1.0,1.23,0.759,0.0,0
Boelens,1PZ4yQmyi4JsfhUUHJiNs15gt98MreQXw1,0,0,0,1421,1421,1421,1,1,0,3,2.0,0.0000108,0.0,2.11,0.919,70.0,0.58,1,1,1.0,1.23,0.747,0.0,0
Bomac,1JUi58qD4tbRXzGK4r37xbQDYGW5ynXYSB
Caprigon,1Q4siL9KD2W8cy5eguRr5z5R1iCca27Qqv,4631,1389,3,161632,166263,163051,163,163,0,28,24.0,0.00013,0.0,0.172,0.717,85.0,1.39,60,64,0.938,1.06,1.16,0.0,0
CaramelSunshine,14yBc8zcJZh8nhUVx62RBX1n19Nw4pgy2q,3963,1188,0,0,3963,1188,1,1,0,0,0.0,0.0,0.0,0.0,0.0,55.0,0.195,0,6,0.0,0.0,0.117,0.0,0
Cdelatorref,13TRk2LRQuPH926Dq4u1uL63gUvfX5wRN3,0,0,11,10208,10208,10318,10,10,0,13,9.0,0.0000487,0.0,1.26,0.873,70.0,0.58,15,15,1.0,1.23,0.733,0.0,0
Ceebizcut,1M5haKYJ8PJ43kHTs6okSBLj5gUhLRQiUJ,0,0,0,22266,22266,22266,22,22,0,1,1.0,0.00000541,0.0,0.0449,0.628,80.0,1.06,0,12,0.0,0.0,0.824,0.0,0
Colin012,1LsUrZ2EcGKwy3Vt72FbFkng5bnYjdTsea,0,0,2,2877,2877,2897,3,3,0,1,1.0,0.00000541,0.0,0.345,0.768,75.0,0.792,3,4,0.75,0.62,0.768,0.0,0
CryptoAddicto,1DKhy7jj8oB53iGZYrWzDSfcVoKHjsuxaa,168061,50418,0,0,168061,50418,50,50,0,70,49.0,0.000265,0.0,1.39,0.882,70.0,0.58,44,109,0.404,0.141,0.627,0.0,0
Cryptobyte,1HwxMzbFqZfyE6HaR2D3keJQ1ync1V5UQR,0,0,0,5149,5149,5149,5,5,0,0,0.0,0.0,0.0,0.0,0.0,85.0,1.39,4,4,1.0,1.23,0.96,0.0,0
Cryptopi,16wwpo6sJeFFWMnSy7ySa62mZLTAWohyP7,0,0,3,117896,117896,117926,118,118,0,79,40.0,0.000216,0.0,0.67,0.82,50.0,0.127,0,86,0.0,0.0,0.322,0.0,0
Cryptaur,18HEmGSt6x1aiwqEWQBZYedYwEjEB61FLe,0,0,47,45376,45376,45846,46,46,0,5,4.0,0.0000216,0.0,0.109,0.685,82.5,1.22,34,38,0.895,0.945,1.03,0.0,0
Cybernet,1La3GDDFvm2fVSjDh7Wy6YvbZ4MiP7Mt1q,0,0,7,2315,2315,2385,2,2,0,5,4.0,0.0000216,0.0,2.1,0.919,80.0,1.06,4,4,1.0,1.23,1.03,0.0,0
Dalamar96,1BXH2Xida1orS5GpXdniMrwZFbi5iznM92,0,0,0,19133,19133,19133,19,19,0,1,1.0,0.00000541,0.0,0.0523,0.637,77.5,0.918,6,6,1.0,1.23,0.865,0.0,0
Darebruges,1EkixVazBUdNarHfB5eUWsxQ6JJnQuQx3K,0,0,7,2551,2551,2621,3,3,0,3,2.0,0.0000108,0.0,1.14,0.865,75.0,0.792,4,4,1.0,1.23,0.858,0.0,0
Darknessfell,1EGufdRWTXBJtqfQrH3htzKFogQGbwEuBv,0,0,0,112484,112484,112484,112,112,0,0,0.0,0.0,0.0,0.0,0.0,70.0,0.58,123,123,1.0,1.23,0.471,0.0,0
Dead_bit,1SuaNpdTNevb6VUYYn2Tqq4iXD5yeLmJ9,0,0,19,8441,8441,8631,9,9,0,5,3.0,0.0000162,0.0,0.579,0.809,65.0,0.415,6,6,1.0,1.23,0.615,0.0,0
