Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Previous Cumulative Payout,Payout,Unique Page Views,Popularity Times Rating,Advertising Portion,Advertising Revenue,Views per Thousand Words,Normalized Popularity,Rating Median,Normalized Rating Median,Categorized Articles,Articles,Categorization,Normalized Categorization,Normalized Worth,Earnings Multiplier,Earnings
Acs26,1pK5e7YxixmERU617STiXgiGdnactBQrT,0,0,0,2592,2592,2592,3,3,0,0,0.0,0.0,0.0,0.0,0.0,81.5,1.23,4,4,1.0,1.22,0.863,0.0,0
Alexandriafini,19YqhfmEKLEwhT5NJN1ER1FB5yn3jq4yhL,0,0,0,7588,7588,7588,8,8,0,1,1.0,0.00000183,0.0,0.132,0.764,55.0,0.359,3,3,1.0,1.22,0.566,0.0,0
Aljiu,17AD7tcyFK5WWqpPykgx2pvypQdfiSCitR,0,0,2,1050,1050,1070,1,1,0,0,0.0,0.0,0.0,0.0,0.0,90.0,1.69,1,1,1.0,1.22,1.13,0.0,0
Alpha511,1Fcqq12HeSxi3UEqeuPrj7mKZ5U8CLosE5,0,0,12,4131,4131,4251,4,4,0,38,31.0,0.0000566,0.0,8.94,0.991,80.0,1.16,3,3,1.0,1.22,1.12,0.0,0
Altos,19kKHtq3osvHqemFSxUvoVoBUPUpH7KQB3,0,0,0,25397,25397,25397,25,25,0,0,0.0,0.0,0.0,0.0,0.0,76.1,0.993,7,7,1.0,1.22,0.718,0.0,0
Alyssa85,1ERn5JRTm5P47LzhiLCbKtduwj9M3cPE81,0,0,4,10960,10960,11000,11,11,0,236,201.0,0.000367,0.0,21.5,1.05,84.5,1.38,10,10,1.0,1.22,1.27,0.0,0
Amirali00124,1FfeaJ6cQGWmfRH3SKsYnyMYA62g7FnDds,0,0,0,3131,3131,3131,3,3,0,1,1.0,0.00000183,0.0,0.319,0.807,60.0,0.471,4,4,1.0,1.22,0.647,0.0,0
Antdix,1NNnUkWk29x6PBMyUpRDXv4dEMNrw5qjWY,0,0,102,76285,76285,77305,77,77,0,43,30.0,0.0000548,0.0,0.556,0.835,70.0,0.765,42,42,1.0,1.22,0.832,0.0,0
Ashleysly,1Mdu9MbAEsUm81NzEPQR7GCkUxbG39pWMy,559,167,0,49519,50078,49686,50,49,1,47,31.0,0.0000566,0.0,0.946,0.863,65.0,0.606,54,54,1.0,1.22,0.745,0.687,1
Asquirrel,1Dme8MjSTnsQdGsXT94Yb5is9EXqRPYnVZ,0,0,0,3238,3238,3238,3,3,0,19,13.0,0.0000237,0.0,5.87,0.966,70.0,0.765,1,1,1.0,1.22,0.871,0.0,0
Athanasios_motok,13uzim3VkT6YSEGsUA7KxKkimepsaLF7ZE,701,210,38,56105,56806,56695,57,57,0,58,40.0,0.0000731,0.0,1.02,0.867,69.0,0.732,80,80,1.0,1.22,0.821,0.0,0
Atruk,1x1yenCV3GxoiGPjpE1iykCH9kcmS8fsr,0,0,0,22207,22207,22207,22,22,0,6,4.0,0.00000731,0.0,0.27,0.799,74.0,0.912,15,15,1.0,1.22,0.908,0.0,0
Backa18,1A7mEa8zufBg2ajkQU8uezFKVvaxEqXr3g,0,0,2,98260,98260,98280,98,98,0,18,12.0,0.0000219,0.0,0.183,0.78,68.5,0.715,36,36,1.0,1.22,0.785,0.0,0
Balthozar,1kFhM8vtEzbZ43Z5wcadPvNrb4xFXbgze,0,0,4,10533,10533,10573,11,11,0,4,4.0,0.00000731,0.0,0.378,0.815,89.0,1.63,0,12,0.0,0.0,1.22,0.0,0
Barnacle_Ed,16xxKVrtDxTuEJhADUxVmZK94im43RXi45,0,0,0,36735,36735,36735,37,37,0,3,3.0,0.00000548,0.0,0.0817,0.742,88.5,1.6,9,15,0.6,0.392,1.22,0.0,0
Ben,1DbJtgRfXqa2Vjh4Qfe35gGqMVEbC7DoAu,0,0,15,1947,1947,2097,2,2,0,61,55.0,0.0001,0.0,29.1,1.07,89.5,1.66,1,1,1.0,1.22,1.44,0.0,0
BitcoinAlchemist,1JBmwfJ4HmxTDDYwZY1rC63xR9h8Usqtat,0,0,0,27587,27587,27587,28,28,0,10,7.0,0.0000128,0.0,0.362,0.813,70.5,0.783,2,26,0.0769,0.00411,0.714,0.0,0
Bit-fxtrader,1BZrrPVnQibm9M357dATtTokUYP1vaosgU,0,0,1,39209,39209,39219,39,39,0,308,264.0,0.000482,0.0,7.85,0.983,85.0,1.41,24,24,1.0,1.22,1.26,0.0,0
Bittzy78,1Pz1K3res89p4GF3N26gz93CzbyWUcjEAb,3084,925,6,12925,16009,13910,14,14,0,32,26.0,0.0000475,0.0,2.3,0.911,80.0,1.16,13,13,1.0,1.22,1.09,0.0,0
Blackjet69,1tjX32UTH9DV9LkWKSncr4a3sJ4ksY84S,0,0,4,6821,6821,6861,7,7,0,0,0.0,0.0,0.0,0.0,0.0,62.5,0.536,7,7,1.0,1.22,0.443,0.0,0
Bmlzootown,1AWxtasquGuwRz9KMSfbZLVa3ED7XuXNev,0,0,0,1282,1282,1282,1,1,0,0,0.0,0.0,0.0,0.0,0.0,80.0,1.16,3,3,1.0,1.22,0.821,0.0,0
Boelens,1PZ4yQmyi4JsfhUUHJiNs15gt98MreQXw1,0,0,0,1421,1421,1421,1,1,0,4,2.0,0.00000365,0.0,2.81,0.923,60.0,0.471,1,1,1.0,1.22,0.682,0.0,0
Bomac,18sqY71VonaH81y4mWyrFirLf9ZMq238wY,0,0,0,230789,230789,230789,227,177,50,208,168.0,0.000307,0.0,0.901,0.86,80.0,1.16,59,59,1.0,1.22,1.08,0.996,50
Caprigon,1Q4siL9KD2W8cy5eguRr5z5R1iCca27Qqv,3084,925,1,159660,162744,160595,161,111,50,75,61.0,0.000111,0.0,0.467,0.826,80.0,1.16,59,59,1.0,1.22,1.07,0.986,49
CaramelSunshine,14yBc8zcJZh8nhUVx62RBX1n19Nw4pgy2q,3963,1188,0,0,3963,1188,1,1,0,1,1.0,0.00000183,0.0,0.842,0.857,50.0,0.266,0,6,0.0,0.0,0.416,0.0,0
Cdelatorref,13TRk2LRQuPH926Dq4u1uL63gUvfX5wRN3,0,0,11,10208,10208,10318,10,10,0,21,15.0,0.0000274,0.0,2.04,0.905,70.0,0.765,15,15,1.0,1.22,0.853,0.0,0
Ceebizcut,1M5haKYJ8PJ43kHTs6okSBLj5gUhLRQiUJ,0,0,0,22266,22266,22266,22,22,0,3,2.0,0.00000365,0.0,0.135,0.765,79.0,1.12,0,12,0.0,0.0,0.901,0.0,0
Colin012,1LsUrZ2EcGKwy3Vt72FbFkng5bnYjdTsea,0,0,2,2189,2189,2209,2,2,0,0,0.0,0.0,0.0,0.0,0.0,75.0,0.951,1,3,0.333,0.106,0.581,0.0,0
CryptoAddicto,1DKhy7jj8oB53iGZYrWzDSfcVoKHjsuxaa,172607,51782,0,0,172607,51782,52,52,0,106,75.0,0.000137,0.0,2.05,0.905,70.0,0.765,50,116,0.431,0.188,0.75,0.0,0
Cryptobyte,1HwxMzbFqZfyE6HaR2D3keJQ1ync1V5UQR,0,0,0,5149,5149,5149,5,5,0,0,0.0,0.0,0.0,0.0,0.0,87.5,1.54,4,4,1.0,1.22,1.05,0.0,0
Cryptopi,16wwpo6sJeFFWMnSy7ySa62mZLTAWohyP7,0,0,3,117896,117896,117926,118,118,0,47,26.0,0.0000475,0.0,0.399,0.818,55.0,0.359,0,86,0.0,0.0,0.461,0.0,0
Cryptaur,18HEmGSt6x1aiwqEWQBZYedYwEjEB61FLe,0,0,47,45376,45376,45846,46,46,0,3,3.0,0.00000548,0.0,0.0654,0.732,85.0,1.41,34,38,0.895,0.952,1.16,0.0,0
Cybernet,1La3GDDFvm2fVSjDh7Wy6YvbZ4MiP7Mt1q,0,0,7,2315,2315,2385,2,2,0,7,6.0,0.000011,0.0,2.94,0.925,87.5,1.54,4,4,1.0,1.22,1.33,0.0,0
Dalamar96,1BXH2Xida1orS5GpXdniMrwZFbi5iznM92,0,0,0,19133,19133,19133,19,19,0,4,3.0,0.00000548,0.0,0.209,0.786,80.0,1.16,6,6,1.0,1.22,1.06,0.0,0
Darebruges,1EkixVazBUdNarHfB5eUWsxQ6JJnQuQx3K,0,0,7,2551,2551,2621,3,3,0,7,4.0,0.00000731,0.0,2.67,0.92,55.5,0.369,4,4,1.0,1.22,0.619,0.0,0
Darknessfell,1EGufdRWTXBJtqfQrH3htzKFogQGbwEuBv,0,0,14,51619,51619,51759,50,0,50,30,21.0,0.0000384,0.0,1.16,0.874,70.0,0.765,31,31,1.0,1.22,0.843,0.778,39
Dead_bit,1SuaNpdTNevb6VUYYn2Tqq4iXD5yeLmJ9,0,0,19,8440,8440,8630,9,9,0,6,4.0,0.00000731,0.0,0.695,0.847,65.0,0.606,6,6,1.0,1.22,0.74,0.0,0
DeadSea33,1A9qwtctYmYrCKSegy7RrNCUJxuohwFQmD,30998,9299,126,116304,147302,126863,127,127,0,107,92.0,0.000168,0.0,0.843,0.857,85.0,1.41,45,45,1.0,1.22,1.22,0.0,0
Deadwood,1MRCQrNWiXg8LA4vq6PfYvpdWfyZketSw6,0,0,6,24064,24064,24124,24,21,3,72,65.0,0.000119,0.0,2.98,0.926,90.0,1.69,16,16,1.0,1.22,1.41,1.3,4
Develcuy,1DogCa5wiVZJWFnFDezuw5XssoWWabijnE,0,0,0,2122,2122,2122,2,2,0,20,18.0,0.0000329,0.0,9.43,0.994,90.0,1.69,4,4,1.0,1.22,1.43,0.0,0
Devguy,1QAZtw4SYaMfceg55uL2yarTnDtjySSyXz,0,0,1,12111,12111,12121,12,12,0,3,1.0,0.00000183,0.0,0.248,0.794,45.0,0.191,9,11,0.818,0.781,0.431,0.0,0
Devtome_Writer,17wwzTrWrk1buS9bxEFdgTsvhiyrDakBZe,0,0,0,10248,10248,10248,10,10,0,5,4.0,0.00000731,0.0,0.488,0.828,70.0,0.765,10,13,0.769,0.681,0.776,0.0,0
Dexter,18jMxk8jqwvgpx4wT48VAb6jGbYNazz4b7,16281,4884,69,93310,109591,98884,99,99,0,10,7.0,0.0000128,0.0,0.101,0.752,67.5,0.683,3,31,0.0968,0.00684,0.636,0.0,0
Dglenn,15b3uWBBfMfhVwsXLYtGzXJ8vAHyjVV1Mu,0,0,0,121520,121520,121520,100,50,50,5,4.0,0.00000731,0.0,0.0411,0.711,75.0,0.951,1,1,1.0,1.22,0.906,0.836,42
Dhouses,192hXH4dh4zASr1212X6GJFXsypavW2uMW,0,0,12,47680,47680,47800,48,41,7,47,39.0,0.0000712,0.0,0.983,0.865,83.0,1.31,20,21,0.952,1.09,1.15,1.06,7
Diamondcardz,18q45dAKGakQdPkjrg17NrfdiFGKWULwSJ,0,0,2,2079,2079,2099,2,2,0,2,2.0,0.00000365,0.0,0.953,0.863,90.0,1.69,2,2,1.0,1.22,1.39,0.0,0
Diedicar,1NXSmDdfVdL548RzbzVx6CkUmXFoRZ5yH3,0,0,6,7052,7052,7112,7,7,0,0,0.0,0.0,0.0,0.0,0.0,95.0,2.0,4,4,1.0,1.22,1.32,0.0,0
Dinkleberg,1Mnd6HGYcoNryKT2bkaT55BPsVK1a8o49u,0,0,111,32574,32574,33684,34,34,0,36,31.0,0.0000566,0.0,1.07,0.869,84.5,1.38,35,35,1.0,1.22,1.21,0.0,0
Eammy,1EPRS5bUm6USqLWZf5faBzZF2dXhHdyfgc,0,0,5,9246,9246,9296,9,9,0,0,0.0,0.0,0.0,0.0,0.0,80.0,1.16,8,8,1.0,1.22,0.821,0.0,0
Ecafe,17tRggPGbLBVWFBoySALZXTABD2zSe3kEW,0,0,0,112578,112578,112578,113,113,0,10,8.0,0.0000146,0.0,0.0888,0.746,80.0,1.16,16,16,1.0,1.22,1.04,0.0,0
Eeharris,1CfWWyDNUeioJc7TBnqDBDyQKJUYwT7S2Z,617948,185384,4,208362,826310,393786,394,348,46,11590,10536.0,0.0192,0.0,29.4,1.07,90.0,1.69,58,58,1.0,1.22,1.45,1.34,62
